product_id,product_details,product_image_url,gender
11,Name:BLUSHH COLLECTION Women's Sweaters,https://images.meesho.com/images/products/10710907/009f5_512.webp,Female
12,Name:GIRLS STYLISH WOOLEN HOODY,https://images.meesho.com/images/products/374469758/irqla_512.webp,Female
13,Name:Suits Sharts 1 Sweaters,https://images.meesho.com/images/products/180147886/cgiar_512.webp,Unisex
14,Name:Pretty Graceful Women Sweaters,https://images.meesho.com/images/products/308206762/5bebo_512.webp,Female
15,"Name:Fashionable Women Sweatshirts , Black, zipper, front open, Sweaters for women, Winter Wear,",https://images.meesho.com/images/products/357593700/ykzol_512.webp,Female
16,Name:Fancy Modern Women Sweaters,https://images.meesho.com/images/products/66090339/e9awm_512.webp,Female
17,Name:Women sweater round neck  | Women sweater pure wool best for casual days perfect for office use | Knitted sweater | women sweater | sweater,https://images.meesho.com/images/products/439099711/xtnfi_512.webp,Female
18,Name:Vardhman Collection Women Winter Full Sleeve Cardigan (Pack Of 1),https://images.meesho.com/images/products/424404671/edazm_512.webp,Female
19,Name:Comfy partywear women sweaters,https://images.meesho.com/images/products/443448679/ub4xq_512.webp,Female
20,Name:Grand Line Women's Acrylic Woolen Winter Wear Warm Kurta with Palazzo set for casual & formal occasion,https://images.meesho.com/images/products/392318873/kiufy_512.webp,Female
21,Name:WOMAN FANCY SHIRT,https://images.meesho.com/images/products/288202204/ijk7z_512.webp,Female
22,"Name:BLACK CHECK SHIRT LONG, Oversized Shirts",https://images.meesho.com/images/products/300718003/9xn9p_512.webp,Unisex
23,Name:Classic Glamorous Women Shirts,https://images.meesho.com/images/products/372092583/edrio_512.webp,Female
24,Name:Vertical Striped Pure Cotton Shirt for Women,https://images.meesho.com/images/products/409918542/mycwa_512.webp,Female
25,Name:GIRLS & WOMEN BLACK CHECK SHIRT,https://images.meesho.com/images/products/413685156/aarob_512.webp,Female
26,Name:WOMEN  CHECK SHIRT BLACK,https://images.meesho.com/images/products/340130488/1u4un_512.webp,Female
27,Name:woman fancy shirt,https://images.meesho.com/images/products/137885866/sticd_512.webp,Female
28,Name:WOMAN CHACK SHIRT BLACK,https://images.meesho.com/images/products/428554330/6qazy_512.webp,Female
29,Name:UEA Women's Printed Casual designer shirt,https://images.meesho.com/images/products/321135154/uan2g_512.webp,Female
30,Name:JD textile PREMIUM SHIRT Man's popcorn shirt havvy quality shirt for men trendy shirt for men stylish shirt for men havvy quality shirt fabric,https://images.meesho.com/images/products/443309950/4mv1l_512.webp,Male
31,Name:Men shirt,https://images.meesho.com/images/products/438567680/eluk3_512.webp,Male
32,Name:Classic Retro Men Shirts,https://images.meesho.com/images/products/375220996/h1dwu_512.webp,Male
33,Name:Pretty Retro Men Shirts,https://images.meesho.com/images/products/216426123/e1q4g_512.webp,Male
34,Name:LYCRA FULL SLEEVES SHIRT,https://images.meesho.com/images/products/381412212/eutsj_512.webp,Unisex
35,Name:Stylish Modern Men Shirts,https://images.meesho.com/images/products/428634061/rkwkb_512.webp,Male
36,Name:Stylish Formal Shirts For Mens,https://images.meesho.com/images/products/204307799/pd2lf_512.webp,Male
37,Name:vstrr double pocket shirt for men,https://images.meesho.com/images/products/404027605/wavtw_512.webp,Male
38,Name:Vrino Sport Shoes for Men and boys,https://images.meesho.com/images/products/369353894/u6gli_512.webp,Male
39,Name:Men's Running Shoes Ultra Lightweight Breathable Walking Shoes Non Slip Athletic Fashion Sneakers Mesh Workout Casual Sports,https://images.meesho.com/images/products/404293197/j8ynx_512.webp,Male
40,Name:Xylus Black Fancy Casual Shoes for Man | Gym Shoes | Walking Shoes | |Casual Shoes | Cycling Shoes| Canvas Casual Black Shoes| Black Canvas Boot|,https://images.meesho.com/images/products/350617217/7dlka_512.webp,Male
41,"Name:COOPERWINGS Men's Easy walk Sports Running ShoesSneakers, Gym Casual Sneaker Lace-Up Lightweight Shoes",https://images.meesho.com/images/products/392335827/7qi34_512.webp,Male
42,Name:Cooperwings Men's Stylish Casual Sports Walking Sneakers Shoes For Boys And Men,https://images.meesho.com/images/products/382422019/svlbi_512.webp,Male
43,Name:Mesh Running/Walking/Gym Sports Shoes For Men Pack of 2,https://images.meesho.com/images/products/333942837/mkg6o_512.webp,Male
44,Name:SW-Mexico Stylish Sports Shoes For Men,https://images.meesho.com/images/products/339955046/ze5bd_512.webp,Male
45,Name:Stylish Trending  shoes for Men,https://images.meesho.com/images/products/346893085/9yj1m_512.webp,Male
46,Name:trending  girls shoes casual and sport and  shoes,https://images.meesho.com/images/products/378307212/vfjzl_512.webp,Female
47,Name:R.M Latest Trending Girls Shoes,https://images.meesho.com/images/products/391436482/b7dbg_512.webp,Female
48,Name:Stryder Sneakers For Women Latest Women Shoes Running shoes for men Sport shoes for Women,https://images.meesho.com/images/products/266268746/ad9ay_512.webp,Female
49,Name:Women Casual Shoes,https://images.meesho.com/images/products/293285745/nlfqo_512.webp,Female
50,Name:N N  WHITE Casual Shoes For WOMENS,https://images.meesho.com/images/products/419799425/vxoqk_512.webp,Female
51,Name:Jackrunner casual shoes for women,https://images.meesho.com/images/products/388728366/x60ho_512.webp,Female
52,Name:Women's shoes,https://images.meesho.com/images/products/422410087/b9duy_512.webp,Female
53,"Name:Baggy Jeans,Women jean Womens Jean jean For womens Trendy jean for Women",https://images.meesho.com/images/products/313719770/6dqxg_512.webp,Female
54,Name:Stylish Women's Denim Jeans,https://images.meesho.com/images/products/4485796/1_512.webp,Female
55,Name:ICE BLUE DENIM WIDE LEG DENIM JEANS,https://images.meesho.com/images/products/389404323/qjpsk_512.webp,Unisex
56,Name:WOMENS 4-BUTTON PLAIN JEANS FOR WOMEN PLUS SIZE WOMEN AND GIRL,https://images.meesho.com/images/products/393634523/qppga_512.webp,Female
57,"Name:Women & Girls Denim Pant Jeans Stretchable and Stylish Denim Jeans with Round Pocket JET BLUE 5 BUTTONS, Jeans Top, cargo pants, baggy jeans, jeans pant, bell bottom jeans, denim, high waist jeans, ladies jeans, skinny jeans",https://images.meesho.com/images/products/298284049/reekc_512.webp,Female
58,Name:Bellbottam jeans for kids,https://images.meesho.com/images/products/394449356/jiith_512.webp,Unisex
59,Name:Trandy Women Fancy Cargo Pant,https://images.meesho.com/images/products/407965604/m0kc2_512.webp,Female
60,Name:Classic baggy jeans for kids,https://images.meesho.com/images/products/393966319/vulyd_512.webp,Unisex
61,Name:Boy 6 pocket Cargo,https://images.meesho.com/images/products/355025627/b2u7v_512.webp,Male
62,Name:Women Denim Jeans Jogger Elastic Waist Drawstring Stretch Side Pockets Star Dark and Bang Light Casual Jeans  Pack Of 2,https://images.meesho.com/images/products/65813845/ujovq_512.webp,Female
63,Name:Women Fashionable Stylish Jeans Pant,https://images.meesho.com/images/products/399498546/weeft_512.webp,Female
64,Name:Men's Slim Mid Rise Fashionable Stretchable Jeans (Black),https://images.meesho.com/images/products/202040716/orm8k_512.webp,Male
65,"Name:Baggy Jeans,HighWaist WideLeg Jeans",https://images.meesho.com/images/products/321113762/tzzly_512.webp,Unisex
66,Name:Women trnedy skinny fit jeans,https://images.meesho.com/images/products/429617510/pfc5t_512.webp,Female
67,Name:Jeans,https://images.meesho.com/images/products/405342359/a0hzk_512.webp,Unisex
68,Name:Stylish Single Button Slim Fit Stretchable Denim Jeans for Girl's and Women's,https://images.meesho.com/images/products/160661868/jxfdp_512.webp,Female
69,Name:jeans combo for women,https://images.meesho.com/images/products/63099893/ir1x1_512.webp,Female
70,Name:SFW Stylish Girls Trending Denim Jeans Skinny Fit -Lightweight & Stretchable,https://images.meesho.com/images/products/394559173/toryy_512.webp,Female
71,Name:GO0D_NIGHT_WHITE,https://images.meesho.com/images/products/334975140/wezgj_512.webp,Unisex
72,Name:Girls & Womens Cotton Blend Slim Skinny Fit High Waist Ankle Length 5 Button Stretchable Jeans- DARK BLUE,https://images.meesho.com/images/products/99557063/rley0_512.webp,Female
73,Name:Full Sleeve Sweater for Men/ Sweater for office  Brown,https://images.meesho.com/images/products/439468771/adkoh_512.webp,Male
74,Name:Pretty Fashionista Men Sweaters,https://images.meesho.com/images/products/14367048/7dubb_512.webp,Male
75,Name:KEESOR Men Sweatshirt|Men Jacket|Men Cotton Hooded Neck Sweatshirt,https://images.meesho.com/images/products/380462678/te33u_512.webp,Male
76,Name:Mens Sweatershirt,https://images.meesho.com/images/products/442046381/nln51_512.webp,Male
77,Name:Men Winter Sweater For Office | Full Sleeves Round Neck Sweater For Men | Round Neck Pure Wool Pullover (Baby Pink),https://images.meesho.com/images/products/351409290/pbova_512.webp,Male
78,Name:Men Striped High Neck Wool Blend Sky Blue,https://images.meesho.com/images/products/440970347/lgl43_512.webp,Male
79,Name:SK004 RCB,https://images.meesho.com/images/products/68636332/qcnen_512.webp,Unisex
80,Name:HIP HOP FASHION,https://images.meesho.com/images/products/204091052/mst27_512.webp,Unisex
81,Name:sweatshirt for men | men sweatshirt | sweatshirt men | men sweatshirt hoodie | man stylish sweatshirt | woolen sweatshirt men | cotton sweatshirt man | winter sweatshirt,https://images.meesho.com/images/products/442162627/xc2u2_512.webp,Male
82,Name:trandy solid full sleeve 100%fleece sweatshirt,https://images.meesho.com/images/products/433979424/amcr6_512.webp,Unisex
83,Name:Princess Unique Jewellery Sets,https://images.meesho.com/images/products/69004735/glmff_512.webp,Unisex
84,Name:Vk 012,https://images.meesho.com/images/products/428003412/dril6_512.webp,Unisex
85,Name:Oxodise Earrings Combo of 12 Colors Earrings Gold Plated Earrings | Girls'$ Women's   Jhumka Earrings |Traditional Engagement Earrings |Multicolor Jhumki Earrings |Designer Jhumka Earrings,https://images.meesho.com/images/products/395873739/3tast_512.webp,Female
86,Name:NEW WOMEN EARRING MATHAPATTI AND MANGTIKA COMBO SET,https://images.meesho.com/images/products/398015907/ymgcy_512.webp,Female
87,Name:Rhodium Plated Jewellery Set White Austrian Diamond,https://images.meesho.com/images/products/85630166/cisnh_512.webp,Unisex
88,Name:Princess Fancy Jewellery Sets,https://images.meesho.com/images/products/437089580/lifzk_512.webp,Unisex
89,Name:Jewellery for women and girl,https://images.meesho.com/images/products/314777079/zkxhf_512.webp,Female
90,Name:MANGALSUTRA COMBO [ BUY 1 GET 4 FREE ],https://images.meesho.com/images/products/213077954/mgkc1_512.webp,Male
91,Name:CHOKKI DER,https://images.meesho.com/images/products/382053770/ppjry_512.webp,Unisex
92,Name:Samridhi DC Princess Combo Pack of 2 Oxidised Jewellery Set,https://images.meesho.com/images/products/377346310/ffj4z_512.webp,Unisex
